66.94.105.89 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38159 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2973.73 Safari/537.36"
188.11.179.26 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0"
188.11.179.26 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40272 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2637.63 Safari/537.36"
194.116.172.98 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38159 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2955.28 Safari/537.36"
188.175.223.113 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:48.0) Gecko/20100101 Firefox/48.0"
185.203.253.124 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
188.11.179.26 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40272 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2747.34 Safari/537.36"
188.175.223.113 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.66 Safari/537.36"
185.203.253.124 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:45.0) Gecko/20100101 Firefox/45.0"
188.11.179.26 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Windows NT 6.2; rv:46.0) Gecko/20100101 Firefox/46.0"
